CVEGEO	cases	CVE_ENT	vax_pc	ENTIDAD	MUN	Population	sum_cases_7_days	pop	vax_rate	cases_last_7_days_per_100k	prev_per_100k	prev	m_test	m_v	risk_inf_no_mitig_small	risk_inf_testing_no_vax_small	risk_inf_fully_vax_no_test_small	risk_inf_fully_vax_and_test_small	risk_inf_no_mitig_med	risk_inf_testing_no_vax_med	risk_inf_fully_vax_no_test_med	risk_inf_fully_vax_and_test_med	risk_inf_no_mitig_big	risk_inf_testing_no_vax_big	risk_inf_fully_vax_no_test_big	risk_inf_fully_vax_and_test_big
08003	4	08	97.34736838729522	08	003	8487	4	8487	0.9734736838729522	47	471.3090609166961	0.004713090609166961	0.21399999999999997	0.9709561250368983	4.6	1	4.5	1	9	2	8.8	1.9	13.2	3	12.9	2.9
08004	2	08	97.34736838729522	08	004	24344	2	24344	0.9734736838729522	8	82.15576733486691	8.21557673348669e-4	0.21399999999999997	0.9709561250368983	0.8	0.2	0.8	0.2	1.6	0.4	1.6	0.3	2.4	0.5	2.4	0.5
08009	2	08	97.34736838729522	08	009	23351	2	23351	0.9734736838729522	9	85.64943685495268	8.564943685495268e-4	0.21399999999999997	0.9709561250368983	0.9	0.2	0.8	0.2	1.7	0.4	1.7	0.4	2.5	0.5	2.5	0.5
08010	12	08	97.34736838729522	08	010	25146	12	25146	0.9734736838729522	48	477.21307563827247	0.004772130756382725	0.21399999999999997	0.9709561250368983	4.7	1	4.5	1	9.1	2	8.9	2	13.4	3	13	2.9
08011	5	08	97.34736838729522	08	011	49499	5	49499	0.9734736838729522	10	101.01214165942746	0.0010101214165942746	0.21399999999999997	0.9709561250368983	1	0.2	1	0.2	2	0.4	1.9	0.4	3	0.6	2.9	0.6
08012	1	08	97.34736838729522	08	012	8113	1	8113	0.9734736838729522	12	123.25896708985579	0.001232589670898558	0.21399999999999997	0.9709561250368983	1.2	0.3	1.2	0.3	2.4	0.5	2.4	0.5	3.6	0.8	3.5	0.8
08013	1	08	97.34736838729522	08	013	11815	1	11815	0.9734736838729522	8	84.63817181548879	8.463817181548879e-4	0.21399999999999997	0.9709561250368983	0.8	0.2	0.8	0.2	1.7	0.4	1.6	0.4	2.5	0.5	2.4	0.5
08017	17	08	97.34736838729522	08	017	180638	17	180638	0.9734736838729522	9	94.11087368106378	9.411087368106379e-4	0.21399999999999997	0.9709561250368983	0.9	0.2	0.9	0.2	1.9	0.4	1.8	0.4	2.8	0.6	2.7	0.6
08019	398	08	97.34736838729522	08	019	937674	398	937674	0.9734736838729522	42	424.45455456800545	0.004244545545680055	0.21399999999999997	0.9709561250368983	4.2	0.9	4	0.9	8.2	1.8	7.9	1.7	12	2.7	11.7	2.6
08020	3	08	97.34736838729522	08	020	6222	3	6222	0.9734736838729522	48	482.1600771456123	0.0048216007714561235	0.21399999999999997	0.9709561250368983	4.7	1	4.6	1	9.2	2	9	2	13.5	3	13.1	3
